Tweet|Polaridade
 bom é bandido morto|Neutro
 Fóruns Regionais de Governo vão eleger novos prefeitos e vereadores para o|Neutro
 Governo de Minas Gerais compra mais dois helicópteros -  |Negativo
 POLICIAIS MILITARES FAZEM PRISÕES, APREENDEM ARMAS DE FOGO E DROGAS EM BAILE FUNK... |Positivo
 Um cabo da Polícia Militar (PM) de 35 anos, que estava de folga, impediu um roubo a padaria na noite desta... |Positivo
- Medíocre|Neutro
- Pedro, o q vc acha da comunicação do governo e do governador|Negativo
-¿Sulfúrico, eh? Diría que soy estúpido, qué vergüenza d…|Negativo
-che como conociste a tu novia?|Negativo
..E 25% dos mineiros dizem não torcer para time nenhum,mesmo dentro de um estado com Atlético-MG e Cruzeiro. Pq?.. |Neutro
.@minsaude enviou equipe da Força Nacional do SUS p/ auxiliar no atendimento aos pacientes com suspeitas de febre amarela em MG. #ColetivaMS|Positivo
'Falo sobre isso na semana que vem', diz Doria sobre tarifa de transporte - Nacional - Estado de Minas |Neutro
'Foi mídia no mundo todo, arrancamos várias cabeças', comemora funk de facção - Nacional - Estado de Minas |Negativo
'Foi mídia no mundo todo, arrancamos várias cabeças', comemora funk de... |Neutro
'Jeitinho Kalil': novo prefeito de BH almoça de marmitex e elimina traje formal - Politica - Estado de Minas |Negativo
'MG Cultura': Dica cultural é show de Paulinho Pedra Azul, em Governador Valadares |Neutro
'mg é o 4 estado a aprovar o direito de mulheres amamentar em público'|Negativo
'Não me arrependo', diz americano que reagiu a assalto no Rio e foi preso por desacato - Nacional - Estado de Minas |Negativo
'Ponderar sobre indicação não é crime', diz defesa de Palocci - Politica - Estado de Minas |Negativo
'Reeleição de Maia vai gerar instabilidade', diz líder do PSD - Politica - Estado de Minas |Negativo
'Se tem excessos, vamos corrigir', afirma Maia sobre Reforma da Previdência - Estado de Minas… |Positivo
[Corrupção] Benjamin Netanyahu se diz inocente após acusações de corrupção - Estado de Minas… |Negativo
[Corrupção] Corrupção expulsa 38 servidores do Governo de Minas em dois anos - Bhaz |Positivo
[Corrupção] Mais de um milhão de pessoas punidas por corrupção na China ... - Estado de Minas… |Neutro
@__MathLaham @1psicopatar @samuelcost4 não sabia que o Estado de Minas existia em 1926, amigo...E detalhe:isso só apareceu depois de 2011 rs|Neutro
@_pereiraclayton em Minas ta seu cu kkkkkk estou no mesmo estado q você palhaço ??|Neutro
@1chathais Também não acreditei. O Estado de Minas pulicou que estão estudando implantar uma unidade|Negativo
@50Rosanaborges @folha @UOL já é o pior governador da história de Minas.|Neutro
@a_alinediniz parabéns vc emplacou o release no estadão,  folha,  o globo,  isto é e Veja. Na próxima vez consiga SPTV,  Estado de Minas...|Neutro
@AcordouAcordou Minas está linda, recheada de mineiros e mineiras gente boa, o problema é o governo de MG.|Neutro
@AdemirAlvim @pdevechi Estado de Minas melhorando a manchete tb... só não falou que eram negros, mas mencionou a motivação política.|Neutro
@AL_Kaio_ acho que não 4 de SP, 4 do RJ, 3 de MG, 3 do RS, e 3 do ES! Todos se enfrentavam e o melhor de cada estado passava pras semis|Neutro
@AlbertoLage @rebeldescalca @YouTube quero ver a desculpa quando ele ganhar uma boquinha no governo de Minas|Neutro
@AnaPaulaVolei e tem mais essa: |Negativo
@Anastasia @revistaencontro Espero que você seja o próximo governador das Minas Geraes!|Neutro
@andregallindo @R2renatoribeiro @JornalOGlobo Sou de minas, flamenguista e é triste, muito triste ver o maior palco do futebol neste estado.|Negativo
@AndreiaSadi mas privatizar ninguém quer... aqui em Minas tem um presídio privatizado há 3 anos e NUNCA teve rebelião!|Positivo
@anterogreco @gianoddi @rafaelribeiro se der, manda um abraço para os palmeirenses aqui de governador Valadares MG, Antero.|Negativo
@AREZZO_ estou em outro estado! Comprei durante as férias em MG.|Neutro
@AxelRolonOk Y tiene 7 mg este estado que nadie se venga a hacer la inocente??|Neutro
@azeredo_mg @STF_oficial @MichelTemer Justamente isso, morreu bandido é indenizado, enquanto isso os inocentes estão sem aparo do governo|Negativo
@b3arland eu sou do interior de MG, mas minha cidade faz divisa com o estado de SP. O mais perto que eu conheço aqui é o Breno|Neutro
@baekliar o governo de minas dá ate estojo???????socorro|Neutro
@Bella_DiGenaro y patea con las 2 patas, además el wueon es zurdos, con todas las minas buenas q a estado, se le va el gusto atrás?|Neutro
@beppo22 Risco de calote de Estados com a União cresce - Politica - Estado de Minas |Neutro
@betorosio Bom dia professor!!!!|Neutro
@BlogDoPim @carioca556 |Negativo
@cartacapital e em minas governador usa helicóptero do governo para buscar filho em festa|Negativo
@cartacapital isso tudo é um absurdo, legal mesmo é isso aqui |Neutro
